loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,customer_age,monthly_income,employment_type,credit_score,region,emi_delay_days,loan_status,emi_amount
70001,5421,Auto,2982901,10.7,24,24,138873,Salaried,507,North,10,Paid,137586.3086
70002,5941,Home,2893361,19.19,24,25,133918,Salaried,639,East,25,Paid,143691.5407
70003,5500,Personal,3332947,15.46,60,53,104318,Salaried,430,South,12,Paid,64137.0101
70004,6164,Auto,1034109,10.37,36,45,109411,Self-Employed,859,North,9,Paid,31704.05842
70005,5919,Credit Card,2033055,16.67,24,54,137117,Self-Employed,894,West,5,Paid,98831.88619
70006,5898,Personal,546838,14.3,24,24,61585,Self-Employed,794,East,10,Active,26043.15975
70007,5763,Auto,1589244,18.19,12,46,158134,Salaried,608,West,6,Paid,156527.2903
70008,6169,Auto,2202250,15.56,12,22,37996,Self-Employed,410,West,5,Paid,212076.675
70009,6454,Credit Card,1215672,10.35,24,55,61558,Salaried,315,South,15,Paid,55895.5855
70010,6155,Auto,4294960,15.4,240,49,127912,Salaried,774,East,5,Paid,20651.59933
70011,5425,Home,1110244,13.96,24,32,147949,Salaried,379,West,15,Active,52718.08593
70012,5263,Auto,367781,9.54,12,41,23607,Salaried,726,East,5,Paid,33572.27562
70013,5689,Auto,3859325,13.79,12,33,88025,Self-Employed,752,South,5,Paid,365960.4931
70014,6469,Auto,266237,14.87,24,54,96326,Salaried,542,South,0,Paid,12742.76841
70015,5163,Home,3015161,19.48,60,26,132406,Salaried,494,East,2,Paid,60041.90605
70016,5530,Credit Card,3280716,14.96,120,30,98747,Self-Employed,670,South,1,Active,31429.25928
70017,6042,Home,4358046,18.41,12,56,47433,Self-Employed,737,South,3,Active,430030.1891
70018,6012,Personal,3683975,20.56,60,49,61095,Salaried,732,West,7,Default,74023.33767
70019,6140,Personal,1140561,12.95,60,36,169139,Self-Employed,879,West,1,Paid,21471.06082
70020,6382,Personal,417212,18.71,60,46,198408,Salaried,361,East,4,Paid,8254.53942
70021,6484,Auto,4334972,20.18,36,25,78026,Salaried,786,West,5,Paid,144715.8153
70022,5912,Auto,508554,18.75,12,29,174268,Self-Employed,474,South,4,Paid,50325.65625
70023,6414,Personal,627289,19.36,240,36,172899,Salaried,755,East,6,Default,3119.717293
70024,5062,Home,3932210,10.99,12,34,129398,Salaried,574,East,15,Default,363696.6566
70025,6307,Auto,327590,15.92,12,51,197464,Self-Employed,503,West,14,Paid,31645.194
70026,5046,Auto,489568,21.71,60,42,146827,Salaried,694,East,8,Active,9930.88688
70027,5173,Auto,277306,12.61,60,39,57052,Salaried,518,East,3,Active,5204.571443
70028,6344,Personal,921070,18.18,36,40,145223,Self-Employed,400,North,12,Paid,30236.68128
70029,5574,Home,4260605,16.2,60,53,172650,Self-Employed,320,North,1,Paid,82513.71683
70030,5267,Credit Card,2304336,11.83,36,40,94397,Salaried,551,East,7,Default,71581.63747
70031,5527,Home,3148174,12.8,60,41,77896,Self-Employed,887,North,0,Paid,59185.6712
70032,5919,Personal,113210,12.3,24,34,118093,Self-Employed,782,East,3,Active,5297.284583
70033,5673,Credit Card,1488283,15.07,120,21,105302,Salaried,868,West,4,Paid,14271.39373
70034,5567,Auto,1261351,19.39,120,55,110449,Salaried,486,East,1,Paid,12549.39132
70035,5668,Credit Card,4113156,13.44,12,33,69859,Self-Employed,880,South,1,Paid,388830.3472
70036,5186,Home,555555,11.6,36,54,120387,Salaried,853,North,24,Active,17222.205
70037,6465,Auto,561766,9.27,12,43,27909,Self-Employed,322,East,1,Paid,51153.47568
70038,5104,Personal,1765916,11.1,240,44,90938,Salaried,652,South,10,Paid,8174.719483
70039,5843,Credit Card,892722,9.94,24,49,185122,Salaried,587,West,14,Paid,40894.10695
70040,5095,Auto,3116958,14.37,240,44,27178,Self-Employed,420,South,6,Default,14853.6036
70041,6196,Personal,3834035,10.32,24,54,87258,Salaried,599,South,21,Paid,176237.8088
70042,5933,Home,1815822,10.75,12,30,155306,Self-Employed,670,South,10,Paid,167585.2388
70043,6227,Credit Card,274040,8.4,24,34,92530,Salaried,662,South,11,Active,12377.47333
70044,5697,Auto,1942261,19.66,24,35,127227,Self-Employed,625,East,10,Paid,96837.89636
70045,5807,Personal,3660506,12.8,12,43,63964,Salaried,362,South,4,Active,344087.564
70046,6185,Credit Card,3406561,11.57,120,45,118364,Salaried,428,West,2,Active,31672.5009
70047,5888,Credit Card,2523285,19.85,12,39,167985,Self-Employed,864,East,18,Paid,252013.0894
70048,5423,Personal,349943,16.97,36,33,195849,Self-Employed,416,North,13,Active,11370.23131
70049,6444,Home,2895911,11.05,60,33,97241,Salaried,600,East,12,Paid,53598.48609
70050,6302,Home,2796772,11.98,120,45,182664,Self-Employed,767,North,12,Paid,26098.54405
70051,5680,Home,620273,12.97,36,31,172502,Salaried,621,West,6,Paid,19464.51134
70052,6462,Auto,4219281,17.16,240,22,172459,Salaried,764,West,3,Active,20597.12342
70053,6264,Credit Card,2681526,21.46,120,34,132887,Salaried,644,North,3,Paid,27141.51233
70054,5631,Auto,4231964,21.2,120,36,40883,Salaried,428,South,15,Paid,42742.8364
70055,5837,Credit Card,3392070,16.1,36,30,154919,Self-Employed,764,South,1,Paid,109394.2575
70056,6129,Credit Card,1830572,16.61,24,37,45941,Salaried,668,South,20,Paid,88942.91705
70057,6242,Personal,2173886,21.35,24,59,71584,Salaried,885,South,11,Paid,109917.1109
70058,6230,Credit Card,2745824,20.74,36,35,22154,Self-Employed,471,West,12,Active,92091.88604
70059,5859,Home,2820264,21,120,59,170028,Self-Employed,378,North,16,Paid,28437.662
70060,6438,Home,141421,15.34,120,54,176091,Self-Employed,438,East,6,Paid,1359.291512
70061,5989,Auto,2770754,15.16,12,54,169413,Self-Employed,647,East,8,Paid,265900.0255
70062,6076,Auto,3315342,16.01,120,54,30836,Salaried,882,East,14,Active,32051.06879
70063,5556,Credit Card,1154347,12.37,12,56,152271,Self-Employed,344,West,4,Paid,108094.977
70064,6213,Home,3938983,10.46,240,55,137173,Salaried,568,West,2,Paid,18129.16926
70065,5546,Personal,4151674,11.74,240,26,109630,Self-Employed,757,West,0,Paid,19329.5022
70066,5811,Auto,4009837,12.57,12,28,141209,Salaried,412,East,16,Paid,376156.1259
70067,6308,Home,1295027,17.96,60,49,161300,Salaried,614,East,19,Paid,25460.23082
70068,6468,Auto,2982797,10.48,240,44,130480,Salaried,707,North,3,Default,13730.80886
70069,5716,Home,3714722,19.34,60,31,195448,Self-Employed,622,North,2,Paid,73885.82058
70070,6459,Credit Card,83946,18.24,60,53,109148,Salaried,418,North,20,Paid,1654.29584
70071,5169,Credit Card,1356263,19.42,36,48,188905,Self-Employed,780,South,10,Active,44990.25763
70072,5696,Credit Card,1521540,21.64,24,23,177269,Salaried,805,East,13,Paid,77116.719
70073,5039,Home,4540117,20.49,60,32,52974,Self-Employed,713,West,2,Active,91173.11622
70074,6313,Personal,2979790,20.59,120,48,20006,Self-Employed,429,South,18,Active,29944.40634
70075,5265,Auto,3118366,18.21,240,36,116580,Self-Employed,865,North,0,Paid,15359.25187
70076,5476,Credit Card,2504851,19.5,24,27,144693,Salaried,645,North,15,Active,124720.706
70077,5772,Auto,3928288,16.83,60,23,106943,Salaried,555,East,3,Default,76490.31451
70078,6436,Credit Card,3342988,19.3,240,31,136464,Self-Employed,443,North,7,Paid,16617.43618
70079,5383,Personal,2299944,18.41,240,42,63328,Self-Employed,649,North,7,Paid,11347.34871
